"Livestock and Poultry (Household): Farmgate Prices by Commodity, Province, Region, Monthly, 2010-2025"

Type;"Month";"..REGION XIII (Caraga) 2010";"..REGION XIII (Caraga) 2011";"..REGION XIII (Caraga) 2012";"..REGION XIII (Caraga) 2013";"..REGION XIII (Caraga) 2014";"..REGION XIII (Caraga) 2015";"..REGION XIII (Caraga) 2016";"..REGION XIII (Caraga) 2017";"..REGION XIII (Caraga) 2018";"..REGION XIII (Caraga) 2019";"..REGION XIII (Caraga) 2020";"..REGION XIII (Caraga) 2021";"..REGION XIII (Caraga) 2022";"..REGION XIII (Caraga) 2023";"..REGION XIII (Caraga) 2024";"..REGION XIII (Caraga) 2025"
Hog for Slaughter;"January";88.440000;91.320000;92.390000;89.860000;92.870000;96.440000;96.490000;99.190000;104.290000;107.330000;104.520000;130.880000;153.972296;177.089612;158.843793;203.438779
Hog for Slaughter;"February";89.440000;91.520000;91.900000;89.560000;92.240000;95.700000;93.740000;97.710000;105.600000;115.470000;102.460000;137.960000;171.765440;254.099958;198.829453;206.150162
Hog for Slaughter;"March";89.980000;94.130000;92.550000;90.530000;92.480000;94.720000;94.580000;97.520000;103.240000;109.860000;104.010000;150.180000;190.077070;221.938654;228.269603;207.085749
Hog for Slaughter;"April";91.960000;92.970000;91.410000;91.130000;93.110000;96.210000;95.070000;98.280000;103.500000;106.640000;104.810000;145.570000;199.274817;180.579691;186.360436;207.694126
Hog for Slaughter;"May";93.290000;94.090000;92.070000;90.880000;94.310000;95.570000;95.430000;100.760000;108.770000;111.230000;105.340000;147.730000;241.689442;204.106738;199.113790;217.588945
Hog for Slaughter;"June";93.770000;94.190000;91.270000;91.460000;97.480000;95.750000;96.060000;103.000000;112.140000;105.340000;103.600000;147.680000;213.836435;183.187847;200.047123;210.154919
Hog for Slaughter;"July";93.350000;92.760000;89.780000;91.820000;94.520000;96.630000;96.430000;103.150000;109.590000;107.280000;102.110000;147.470000;229.640704;181.383142;250.568362;*/
Hog for Slaughter;"August";90.840000;92.230000;91.650000;91.070000;95.560000;97.680000;95.530000;101.720000;113.700000;109.440000;104.170000;147.170000;217.426792;183.399762;214.434338;*/
Hog for Slaughter;"September";91.930000;92.780000;91.400000;90.490000;95.310000;97.730000;97.070000;103.840000;110.910000;110.510000;103.340000;141.440000;182.160752;188.703760;219.502686;*/
Hog for Slaughter;"October";92.360000;92.580000;91.150000;90.900000;94.910000;96.550000;97.390000;107.520000;113.230000;109.540000;103.850000;134.600000;212.583247;172.754227;215.054143;*/
Hog for Slaughter;"November";88.320000;92.650000;91.060000;90.570000;95.900000;96.870000;96.840000;104.950000;109.980000;109.830000;108.030000;138.330000;220.650216;184.964302;225.103859;*/
Hog for Slaughter;"December";90.150000;93.640000;91.590000;92.550000;97.710000;95.950000;97.230000;102.760000;112.670000;110.890000;113.550000;155.030000;214.986909;210.989779;215.985659;*/
